鄉鎮市區,交易標的,土地位置建物門牌,都市土地使用分區,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,土地移轉總面積平方公尺,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位移轉總面積(平方公尺),車位總價元,主建物面積,附屬建物面積,陽台面積,電梯,Lat,Lng
中壢區,房地(土地+建物)+車位,桃園市中壢區文發路９號十三樓,住,1100807,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,25.83,154.86,3,2,2,有,有,12580000,89020,34.1,1830000,73.9,0,7.03,有,25.0028921,121.2092873
中壢區,房地(土地+建物)+車位,桃園市中壢區文發路３號九樓,住,1101219,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,26.51,158,2,2,2,有,有,16030000,114044,34.1,1900000,76.14,0,6.9,有,25.002881,121.2092043
中壢區,房地(土地+建物)+車位,桃園市中壢區文發路１號二樓,住,1100105,土地1建物1車位2,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,26.96,193.77,3,2,2,有,有,13500000,83858,68.2,2970000,77.09,0,7.03,有,25.0001709,121.2107003
中壢區,房地(土地+建物)+車位,桃園市中壢區文發路１號四樓,住,1100129,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,26.91,159.67,3,2,2,有,有,12300000,85052,34.1,1620000,77.09,0,7.03,有,25.0001709,121.2107003
中壢區,房地(土地+建物)+車位,桃園市中壢區光輝街２６號四樓,住,1101012,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,22.76,131.12,2,2,1,有,有,11080000,99671,37.01,1700000,59.25,0,3.33,有,24.965167,121.2176633
中壢區,房地(土地+建物),桃園市中壢區龍慈路６５號四樓,住,1101012,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,16.11,94.17,2,2,1,有,有,6696000,71105,0,0,55.56,0,7.23,有,24.9430735,121.2473763
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路６１號十樓,住,1080816,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.09,117.26,2,2,1,有,有,8033000,71991,24.86,1381000,57.86,0,3.75,有,24.9431028,121.2474053
中壢區,房地(土地+建物)+車位,桃園市中壢區合圳北路二段３３１巷１８號,工,1110325,土地2建物1車位1,全,四層,透天厝,商業用,鋼筋混凝土造,101.83,191.52,4,2,3,有,有,12650000,66051,0,0,164.6,3.03,23.89,無,25.0033703,121.2470993
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７５號七樓,住,1080508,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.72,121.15,2,2,1,有,有,8139000,71764,26.98,1381000,55.56,0,7.23,有,24.9430004,121.2473038
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７５號九樓,住,1101231,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.72,121.15,2,2,1,有,有,8271000,72040,26.98,1487000,55.56,0,7.23,有,24.9430004,121.2473038
中壢區,房地(土地+建物),桃園市中壢區龍慈路７９號二樓,住,1110301,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,15.14,88.54,2,2,1,有,有,6327000,71459,0,0,55.46,0,3.58,有,24.9429712,121.2472748
